Type,BalanceSheetSide,Instrument,Breakdown,Definition,"Period ",waarde
"Company pension funds ","Assets ","Real estate ","Total ","01 ",2002,5646
"Company pension funds ","Assets ","Real estate ","Total ","01 ",2003,5479
"Company pension funds ","Assets ","Real estate ","Total ","01 ",2004,5274
"Company pension funds ","Assets ","Real estate ","Total ","01 ",2005,5773
"Company pension funds ","Assets ","Real estate ","Total ","01 ",2006,2615
"Company pension funds ","Assets ","Real estate ","Total ","01 ",2007,2605
"Company pension funds ","Assets ","Real estate ","Total ","01 ",2008,1632
"Company pension funds ","Assets ","Real estate ","Total ","01 ",2009,1425
"Company pension funds ","Assets ","Real estate ","Total ","01 ",2010,1275
"Company pension funds ","Assets ","Real estate ","Total ","01 ",2011,1177
"Company pension funds ","Assets ","Real estate ","Total ","01 ",2012,1103
"Company pension funds ","Assets ","Real estate ","Total ","01 ",2013,1036
"Company pension funds ","Assets ","Real estate ","Total ","01 ",2014,1136
"Company pension funds ","Assets ","Real estate ","Total ","01 ",2015,1226
"Company pension funds ","Assets ","Real estate ","Total ","01 ",2016,1235
"Company pension funds ","Assets ","Real estate ","Total ","01 ",2017,1403
"Company pension funds ","Assets ","Real estate ","Total ","01 ",2018,1570
"Company pension funds ","Assets ","Shares and other equity ","Total ","01 ",2002,53511
"Company pension funds ","Assets ","Shares and other equity ","Total ","01 ",2003,65501
"Company pension funds ","Assets ","Shares and other equity ","Total ","01 ",2004,68200
"Company pension funds ","Assets ","Shares and other equity ","Total ","01 ",2005,86630
"Company pension funds ","Assets ","Shares and other equity ","Total ","01 ",2006,127982
"Company pension funds ","Assets ","Shares and other equity ","Total ","01 ",2007,123956
"Company pension funds ","Assets ","Shares and other equity ","Total ","01 ",2008,92555
"Company pension funds ","Assets ","Shares and other equity ","Total ","01 ",2009,97250
"Company pension funds ","Assets ","Shares and other equity ","Total ","01 ",2010,107254
"Company pension funds ","Assets ","Shares and other equity ","Total ","01 ",2011,101380
"Company pension funds ","Assets ","Shares and other equity ","Total ","01 ",2012,109311
"Company pension funds ","Assets ","Shares and other equity ","Total ","01 ",2013,114847
"Company pension funds ","Assets ","Shares and other equity ","Total ","01 ",2014,131919
"Company pension funds ","Assets ","Shares and other equity ","Total ","01 ",2015,136518
"Company pension funds ","Assets ","Shares and other equity ","Total ","01 ",2016,154191
"Company pension funds ","Assets ","Shares and other equity ","Total ","01 ",2017,160932
"Company pension funds ","Assets ","Shares and other equity ","Total ","01 ",2018,149665
"Company pension funds ","Assets ","Shares and other equity ","Quoted shares ","01 ",2006,51793
"Company pension funds ","Assets ","Shares and other equity ","Quoted shares ","01 ",2007,45799
"Company pension funds ","Assets ","Shares and other equity ","Quoted shares ","01 ",2008,20047
"Company pension funds ","Assets ","Shares and other equity ","Quoted shares ","01 ",2009,31249
"Company pension funds ","Assets ","Shares and other equity ","Quoted shares ","01 ",2010,35264
